                                          ,pkgs_before,pkgs_after
ie43c6aeb2277aee0c7a1d9ebffe8d662882cad879,18.0       ,16.0
iecea8926f13bacb4b6c0eee049ee7c562bfa14800,17.0       ,14.0
iee7d849c06ca4b4020ec1e483b9b647d5120e829f,14.0       ,12.0
ie0ce1f7a507e00f9d618724ea2557243b75d417a6,20.0       ,16.0
ie6f40830671c1f9522096341009e172bd7671598a,20.0       ,15.0
ie760d1331e228fd46bead68983b93b43116eca0da,12.0       ,9.0
ie0c66a8db2fddafd05c12ca6e39ec24abe6ee678e,14.0       ,11.0
ie3a4bb522fa479bca7e6142282b5d82abc42aed7d,15.0       ,11.0
ieaf3eb49c7de79b5d0b26eeccf4b1703c4f7fc82c,17.0       ,14.0
ie2836fbeb2295ee8b527a6bb383b9eac1f38874ac,17.0       ,15.0
ie7864c74cc402895aa7fa67e26513f6aadc4864d0,19.0       ,15.0
ie18e8a912caedef74abb884db47b64acb15da384b,15.0       ,12.0
ie345a9213b3c7381f983868275d6164e85865ee68,18.0       ,14.0
iedbbc4b8d96933eff2f40144383d1559d9f1b7039,14.0       ,12.0
ie9e1243cc32d180083ccfcb27a87f05a893e53933,17.0       ,12.0
ie67aa2b7a1b2a35f9605542993813406c81b853de,19.0       ,13.0
ie2fe4c4161e3214b335d7378aaf02f938b7be7bf3,10.0       ,10.0
ie345b110f4a24025beb9c7739fdadd06278cd552b,13.0       ,9.0
ied87c31ec9741f2cd936ac923742a72fcff8220b0,11.0       ,9.0
ie3505497d4d69ea8e7eabe133c2d64050b2812606,12.0       ,11.0
iee6e9959ee0b848f40d98ade2f796099f2a99c3f8,15.0       ,12.0
ie7bfc47e3c307b40ff9de9bcc46b8894d4c49df65,12.0       ,7.0
ie6acefcd8606dfe60d63c5175dde6ef7ae84253f0,17.0       ,12.0
ied55bba66550f4d76b32098f9895667a9a80a5211,27.0       ,22.0
iea29b24be0e738a77ea70a1b009ec7231ed3c5ad0,12.0       ,9.0
ie2ec0a561ec8aff6e1081abdb8188511724c86fa3,13.0       ,11.0
ie21bc145a6df35e7fb76887aac7fdcf1731944d11,9.0        ,6.0
ie12c0649741253a8dc9770f2717e112b898dda4e4,19.0       ,16.0
ie424982be876b144dcc98774c065e5cab509605da,15.0       ,11.0
ie7521c29e49bf2695286aeb0fc64af05f0b45a860,11.0       ,9.0
ie2fcf92600082105f0a976258ce9fe86ec66bde7f,16.0       ,15.0
ie8f28109873c2c437d02280c1053df2ce5220efb8,12.0       ,7.0
ie84acb60d1e143475c4a697dbf0f1624c498da009,18.0       ,15.0
ie014905bb559ffc125236b27e86d9ea657712c3f4,15.0       ,12.0
ieeb274c82f485ff11f6430ede5d08efdcfe428fee,17.0       ,16.0
ie4c63de602c1ec9836a260c121f65608c2abee5aa,13.0       ,10.0
ieed6e5b474f572770e2afe6589de1804d9a2acba2,20.0       ,14.0
ie93f1f0525c2d54a82cbf4380f29a32a7ef8750f4,11.0       ,8.0
ie8f479f04a1dc0805077fef997367e368393c1498,15.0       ,14.0
iec7234bc612a88163adf1121522f277a4146b6fc9,20.0       ,14.0
ie903ad00fd78aec03172fbae37e18acac2260d2e5,16.0       ,15.0
iebc0eaa7f0c20eedd480eb13e5d50588a061c55a8,12.0       ,10.0
ie3233b6ccdb52522fe10a9f38833f2c35affa7a46,16.0       ,13.0
iea830d57f554411fd0d88bfb27f9a167e9f9a9116,13.0       ,8.0
ie2db7401bdc0e619d9124ac33e4d70b5b9d7e1f56,11.0       ,9.0
ie5e6b562aadbc99fefd8031c57282b0b7c7ddad26,14.0       ,11.0
ie1086096b2847414a6525c71b55e0cb928de7226a,11.0       ,9.0
ie52b54786a10408cf751cd30de125c7408f5cbb2d,17.0       ,11.0
ie560dd3756a9e66597ad359815a17fdcdd485b6a3,13.0       ,12.0
ie784b2611572b505e47fccfa126a77031fb2009c2,11.0       ,6.0
iebb0f6833f9e89bfd321c690225a3c95e79618b40,14.0       ,13.0
ie6af8d68fff3fd31daaf5ad69736e9f1dd8e2dc4e,19.0       ,18.0
iedcf1cb0a3e8e32bd10665b2f112a06f1202c3946,18.0       ,17.0
ied2319eb8c025fe462b24e7cf4d1ad1340ee3ba8d,10.0       ,7.0
ie84d37ad8d809948b29029e752369fbbc0da77d1c,12.0       ,9.0
ie14b4d69f1dc15d5bcb072dcc1093e11ad9571ff7,23.0       ,16.0
iedc9b7f54bf60259e1c8fbb4621233e49d4169c17,19.0       ,16.0
ie7ec5112eb98d8a6450615715467f3bdfa5692908,12.0       ,9.0
ieaa57fbda4f1d68864099a897d58498523a35fdec,8.0        ,8.0
ie0b54e67cfb4ebb4088bd9a891563b29f271304c7,16.0       ,13.0
ie691a981096ef1d5f72e47f93c245a74b7c3ebdfe,8.0        ,6.0
ie81262fa0c2341c237221a7d6497508303187faab,23.0       ,17.0
ie7de3414f2c6e75769f12a3193e443f2aee89bd79,19.0       ,11.0
ie2546fd98e58c6fcbc9664f5867d6f7374bb01124,17.0       ,12.0
ied9af126096c3b06dbe55aa04bb4c725abfe88192,16.0       ,12.0
ie6f611a12a4e63500e3e1210ad1fde81b70ffdac1,14.0       ,8.0
ief97060ca41364e3d71857d041d165ad628df7a6e,12.0       ,9.0
iee6be0f42d0377f2bb0cf3350c9bf02eb6173dbf5,19.0       ,17.0
iee2e8e0209cf8386418e1e0d8573cb37227276bda,12.0       ,11.0
ieaca9d9df8814bd9702ff3cb36ab1f3fa7cbbc7d0,10.0       ,8.0
iea84bab0041bc2252e10e88cc942150f8c292bb0b,9.0        ,5.0
ied755f886f71b83dcfb5f9cfd14380e057264dafd,16.0       ,12.0
ie75ef15d54b1dfe60f13743c0dedb65fbd6ff93cf,22.0       ,16.0
ie2b53e0934999df8114689f3eae69ab4be1d9aaac,15.0       ,11.0
ie99561698e19802cb78fc6e654cff5e6a41ff891c,18.0       ,13.0
ie4c5f90d8f3b955eb2ce8857589dc1d0f117813dc,10.0       ,6.0
ie992016ca2150efad38ff4bc293c276e50c56f5ef,23.0       ,18.0
ie677a270602eef3e781d31fe06c172e605065be3a,20.0       ,14.0
ie66c47acb623be593788cf182767866198c101165,15.0       ,13.0
ied5a6094d0aad68db616aaae00c37854225fd3087,14.0       ,12.0
ie26610a65853e3e516abdcc2309875c35f569f9e0,15.0       ,14.0
iec2cded71120175b64e3e04a60495cdfa4972f1b1,15.0       ,12.0
ie2c1427f11aaab19cb59b30432e9a8908bf7186e5,19.0       ,13.0
iefd35b245e6e358ccfc3dba2d12871c5e0e233898,11.0       ,3.0
iea29628ce7e5defa17449ab5a98a0ec6c038cb894,23.0       ,18.0
iee2a87d11011f2b737c18faf6e29d755ae2ab8f31,18.0       ,12.0
ie3c5df495d560a3974512f19d7f3a2c55601d02c0,11.0       ,7.0
iedad285334d445517910d3b63caa632cbef87fec4,15.0       ,12.0
ie41c42dc55c5f21860db96387a0e4397de3843e9e,16.0       ,11.0
ie88083e4bf183be0412cf40fc47ccaea1dbfa3b04,19.0       ,18.0
iec33af920831326bef78ef67ad051d547c1ab9a21,20.0       ,15.0
ie6978c88c3d60051a4bf2625cae0b6eac2541f5af,11.0       ,9.0
ie0fa00e842d21a2d4f62636edbd913df862b4a673,13.0       ,10.0
ie0ba90f4134b0a956926929503c78404a68330a7d,24.0       ,19.0
ied526e202f99b764e4e48b9c0286442f78a777541,21.0       ,16.0
ie41fb4d71d8057de622e5511d26efd8d47f51b10b,15.0       ,11.0
ie7a35ee3a12fc16d5c39d00f219cdf9b647a22a7c,13.0       ,10.0
ie2761ad231332db6b7e9e18bd1e839157aa6142d8,19.0       ,12.0
iefb5e779f2b830a6c9df21e892bd82c26086c19a4,15.0       ,12.0
ie3aa609362ba8bf08dbc57de271cbb8b6b4a125e0,10.0       ,6.0
ie9895e3b8dafbb2a95dd41da65c0e57951db71549,16.0       ,14.0
ie9a21ac7f54f3ed0e32952d1dbfe672581018bb59,18.0       ,9.0
ie7fc6fa97baa8397e4de16f90f5e581077e663aac,14.0       ,10.0
ie502725531a54032057423145d03639f6f471b5ea,24.0       ,20.0
ie5c494d9b731bbf9274cfaf85c8227e37f87701ab,13.0       ,9.0
ie4c3f5ef7e9ef394e98b699f2e2c5f03646f0012a,16.0       ,12.0
ie92c80dd49adb5559cd5d1d734d12a24ecf082279,24.0       ,22.0
iee38a7a32ce42b236d0876637bf32f6df71441a31,14.0       ,13.0
iebb5e0ca71b91efd4e526e955454be8810cde7a73,15.0       ,9.0
ie2f8917dd6c68d3279a3c041588f69d90dfc3fdd3,18.0       ,12.0
iec6505c1601066ae5cf0ff80c8713f38bb0656d07,15.0       ,11.0
ie2c863506098f771cf8a4152713715165970ea844,22.0       ,16.0
ie0bbb4c6f78852b7af441c19b51249cb0e54113c3,18.0       ,12.0
ie37fd079f11b12f7eee2b02628d75576bb323f927,16.0       ,13.0
ie68e79aa8f6050ae9c32c4fc4feb6a0b2908d0f93,11.0       ,10.0
ie35c6d0decd70f2682b0e5225de9855c5ca31daf0,16.0       ,13.0
ie216443a07214ad46f2c078c4b1322770963c0d4b,17.0       ,12.0
ie80ad80ad3859a9c5d31803b2f47416b9c5ed1a09,12.0       ,10.0
iec63fe13bc3b51a7321cb8fffa4597f89386625f7,23.0       ,13.0
ie91307c73db9aea4daf978655370abdc4c7d62e17,18.0       ,13.0
ie1a3100dd925c67dba96206c42ef4d9679cd99777,19.0       ,15.0
iea20a3d2dfdf63cb7b44578feed6bcaf2e70a12eb,13.0       ,9.0
ie4a0cd29d2ae5e844cc737e595337ccd71c1d4631,15.0       ,14.0
iebf82a1f59767bef3b1e1f01a467e247aa609c5fa,22.0       ,18.0
ie736cb349040e467eaf805d809ea9d396f2994151,15.0       ,10.0
ie8dc1fb1d7a66dc4e9e64fbc164fe9671e8f10daa,13.0       ,7.0
iebbb9e862c3b3520463888ead59e000f9252d169b,17.0       ,13.0
ied60593bdcb2ee7fa00bbbfccc1a2c81c025ba80e,16.0       ,11.0
ie843aac00a8771cf30a092779d470dd8c56552d47,17.0       ,13.0
ied7bc4431f5ecfec0490f9f7c9cc5f2a33bac9cb3,15.0       ,13.0
ief71c035e97e20bb063354c1daf8e5affc01325d4,16.0       ,11.0
ie5989d7130f7c74fd1e62f747dc9952d417014cb1,17.0       ,13.0
ie02758d7de51de4395d0e5abba39a3a0cef318866,14.0       ,13.0
ieb560b33ec9e5dbd162b46c268b4e097e7dcea644,11.0       ,7.0
ieea517115307fe25a254c251675398b3a5d0479f3,19.0       ,18.0
ieb42cbb75fa0f5343df63b75b5f426c071277f133,18.0       ,12.0
ie3072df9e2b49d8f76227efa9337efae9fad75d9d,11.0       ,7.0
iefa1b9f2069fe05433858e134c23ccb694f082ea2,13.0       ,10.0
iecb28c903831047046db7cbb1a3d0e084a7990fcf,9.0        ,5.0
ie46286022edf59b87bba2e9bc90dd5a637faac0ac,13.0       ,11.0
ie0ac5d70414d5b816a65737b29daeba485999f750,13.0       ,10.0
ief8ac022ad97e2baf421f0f77380612009b4c1aea,27.0       ,20.0
ieeda6571c058dfeaf8d90dfd2ef231b8f302bd5e1,13.0       ,7.0
ie84df4fe8639bcd392e84f7cf42ef5e52da3f43a8,16.0       ,14.0
ie2e7d50a65ae97f1de475889304e373253725f79b,18.0       ,15.0
ieb005cfd18dd774ab274b9bb9ce7295da6690350a,14.0       ,14.0
ie53e7eb2525cc7ccb9f782ab13667f7e954e00ff7,16.0       ,14.0
ie77f2ab37b1142fa26da2007355b499bb7b01781a,22.0       ,17.0
ie8ac912236998f66506e0ea97af9bfc7c7d178614,17.0       ,13.0
ie5774def1ae9bf663b4ad73bcac95fde4047fd3d0,13.0       ,11.0
iefbe5167fabca6114a55fc1adbbd394a2337fec30,11.0       ,8.0
ied6157c3b463e72a87a1fccbd81149162c61f45c8,14.0       ,9.0
ie49208340864a9bd07f246ac2f1b43e9f06fabce4,15.0       ,13.0
ie59a9bb74cbc30457db6337d46e12ce49c1d04924,16.0       ,11.0
ie36f9b0d437d47ec4af4bc085ff6371dfa063f358,23.0       ,18.0
ieac982617da1e65e895a4f59ef4aceb7d537ea49a,12.0       ,7.0
ie630204ca09142dc6eb28bcf6245c98ea29b24384,14.0       ,10.0
ie297c702cbebef3b087c5bbb9682aa75c9297f584,19.0       ,16.0
iec9e05da482c9051de70d5d1f144ddff0d7296183,15.0       ,14.0
iefbf566ff45be63de241897984beaa04e5d4e369d,14.0       ,12.0
iee8969657deaebd59ff6ee8cb2f132c1198340d14,13.0       ,12.0
iebd4a1cd88123668c831238494dd29ed471dc145a,24.0       ,21.0
ie61a12052e4fc27c8a1f6b2fc79a09ff1ab203a7d,23.0       ,21.0
ie2618ed87df89229b12e77f412805429fe1d60f4d,20.0       ,17.0
ie62d0904fcee7d303e17d031b4664a5187950799f,18.0       ,15.0
iedcbee2dff7dfd19b127b89b1f22b1c1a3ec93b5e,18.0       ,17.0
iec076ebe760c9720acf90f43f7a707a0c182de24c,14.0       ,10.0
ie988abd1fd116228425d98d508a1b17f676379ca5,17.0       ,15.0
iec734e806fcd41473ef89f02cc1a3bb4af6db9445,20.0       ,17.0
ie576b9f07254558101238f22d556e637d1db657b3,20.0       ,17.0
ie8a58d422109d27644bb2e38accf3a81789fbceb0,20.0       ,20.0
ie83fa27cfc55f6a9d859895014c02fd7eda64ae56,16.0       ,12.0
iebd1f62fc354322a09912c85259e6f105b3cb5e13,20.0       ,17.0
ie11ea2617f465fc02629447c0623f73c13ea114a3,21.0       ,19.0
ie98943925c05aab8fbaf5d6dc96a89a526a96e873,16.0       ,13.0
ie65b9ba4916a942fa2ffcccd032d0e5364d10cdab,15.0       ,12.0
ie759e82bd7bbc9e33adee56afb59a84402f4552bd,14.0       ,12.0
ie8a2ec01789be6e09643d8d1262f252d6c687c773,17.0       ,15.0
ie16048e1e8d58f8dec4c055272b4f13a457043dba,15.0       ,11.0
ief442721d8702ad52c5edf3380eaa4abacccd1484,19.0       ,16.0
iec65d046a8714285c8cba2f84e877155cd8578071,16.0       ,10.0
ie43f9af0ed09982afccf867cc9c2d8904b4154bb9,14.0       ,11.0
ie1665863814ef4cc77db1adaadac0de4bf976d438,22.0       ,17.0
ie9892966605bd1ffb7889a39f46f78dc5f391766f,17.0       ,16.0
ieb33b775b417719e47a512ad1726812640e9f9d2f,15.0       ,12.0
ie5b948dda49dcc2da376ca39f8e5b9562ee5339d1,12.0       ,8.0
ief4fb392f1d14d8b23834569522bac091b386def2,9.0        ,5.0
ie75de5fb92b579743b6c2ed2d82713aa6ee77e48b,20.0       ,13.0
ieb110665cd3f10c58148b8a89743ab1f6190a6f6e,19.0       ,15.0
ie679f4c8a0fb49af689693c6228b889725410bee5,16.0       ,9.0
ie488c2e4918967a9a0d662be0f743ce335dcf4d6d,19.0       ,15.0
iee5700ca73bf13c4721abda994337f592df2f2533,8.0        ,7.0
iee528445c2c5e364013fdf34f50206fb40b1ad104,22.0       ,19.0
ie61b899fdccba7462e03c5c8729174024dba7a902,18.0       ,12.0
ie0f3d1292981118555926ad1692303a8e8ced91e3,11.0       ,8.0
ie3e3bf695b55553ef61c7ff528ed55392f9d2f19c,21.0       ,18.0
ie1520786288a298d8e0b69893e79fb371d9a958cc,10.0       ,8.0
ie1037a6079079bbeff91fd46f018934b171124f33,14.0       ,10.0
ied3923a64ae589759ea95891892c08340095483a0,13.0       ,8.0
ie79c295d99c27146eeae129c4aba2576051ffdd47,14.0       ,9.0
ieee3d758610cd5652d94b0667f940c36d27786367,11.0       ,6.0
ie18abd0c78c7c371042d11d36b85d770e72c45348,6.0        ,3.0
ie85a4223c57ba4de80d8c933d9155f0237cece35c,25.0       ,20.0
ie94aecdc2f41c3cd1e1717ea903b810c7da9916e0,17.0       ,12.0
ie94f58e429ebd76a4b7a51b15d0b031549e620b7b,12.0       ,6.0
ie5f5667b2b29cc58f751b5c823a0cfbe4ee7305fb,13.0       ,13.0
ie18873a05fd92010797454cd2fead9e2ae49f83d4,18.0       ,16.0
iec315092374efdbf9b8eb7cc908396e9fb93fe190,14.0       ,12.0
ie1424e73fea2466f7dbc733878e1bad7b41a00e24,22.0       ,20.0
ie83dabb3ca2393629222f97c044cea55308c026db,15.0       ,12.0
ie798a4266642a4f01fbee005a5d9d3b1f0e6921bb,9.0        ,6.0
ie8b7e9c64a9a84ae2be214078e45999a4fde1832b,18.0       ,13.0
iead68e06a1504ccdee472bff8cf2e73849b31579b,23.0       ,17.0
ie524814e882d40f04395ae9c180212c477226547d,15.0       ,13.0
iec288a4e63ad07affbe7e5d98db79ce7d07528cad,17.0       ,14.0
iea0fb5a3fde7f6fb5e0bb88bfe5a2b89a002e6bd5,13.0       ,9.0
iec0b49a0f3a96d524bc3e3fca2fd492ea59f18dc2,8.0        ,6.0
ied6c5553e716dbdece749f180a00064969fb15d5d,18.0       ,13.0
ie2e36d879cecec39c1609b989d3bc6a589b362cb4,18.0       ,14.0
iea5a45a1d8dd242436b8ce45822dcb9b56d30982e,17.0       ,13.0
ied4eb885090716b244961575a7c83796cdb0a3700,14.0       ,11.0
ie291d5eb14d8f4feab6d93dcf8f029540c0b90f34,10.0       ,7.0
ie064575f465835654e076ebaedcffad95ebd0b0fb,10.0       ,8.0
ie142751008005b7319d1b008240471a1b277f23b1,12.0       ,8.0
ie3687b88bc9384f56ef6cf1f409600f47b1bf9dd7,13.0       ,10.0
ie7e20d8eb7cb95dbe16a6b14b063ab888f0c8d2c1,10.0       ,10.0
iee6977bc8fee031adadf05396a4d705cc56fd94d7,13.0       ,10.0
ie3a504f67fb0e0cedc3ae66679f23ff0d35ab7a12,16.0       ,14.0
ie073732d7dc109d23d4ac630466e20b8a3936829b,13.0       ,11.0
ie535e40497828016bb7d25cfef93e81ebffe97d08,15.0       ,13.0
ie6135685074ecbf0288a0c8452ea57363449f8d70,16.0       ,12.0
ieac93f5903be6ae35585001eb6c078ad32c1034bd,12.0       ,9.0
ie8cb30087320388f168d23d299386659ab09e3429,20.0       ,15.0
iec16e4da52857613c74fe9ef1ff24c53f730ad1bc,13.0       ,11.0
ie94bc67ebfa759447ac53fec92d7e9444a15dae41,16.0       ,14.0
ie12a4815212228f576a61c8bc28f247b77d225340,20.0       ,15.0
ie40b97f40ce5d7c99f6ea56e66d2afa99cf1963fd,21.0       ,16.0
ie0577f94faac83dcd5b7690a1940d988e7d89ed02,10.0       ,6.0
ie9a73359d8ac9fc3a1c43e587d5dcce1fbe5ede0f,21.0       ,20.0
ie8a9d3b0ca96249efdb17f3cec28b9ca9ba8ab921,15.0       ,9.0
ie368149fba95322ea014ffef77e8a8317b760d8e5,18.0       ,16.0
ie0de31008299d516da6e314c215e0ada366241c85,11.0       ,8.0
ie42374576ff51ec691c7bac131d210a6bfa53ea81,20.0       ,12.0
ie402ecedcce27f1a9edb6d1ce2088fabce8a237e2,17.0       ,12.0
ie2bd15393a20617a6f2fae213dea7022b6bf947d6,9.0        ,8.0
ied292d751f509356ef26644bd1e371e8fe26f15e9,21.0       ,16.0
iedbf9e8b7052b5860d92ceceb483fd2115fdb3ea1,20.0       ,15.0
ie94b1391c9d762b040b5fb4d7d31bd1b5b6f4032c,18.0       ,11.0
ie7bc6a6eb8603005b91e2e36c26125af07f3d07a8,14.0       ,12.0
ie716e5c1fcdd331fbbd0b40e079110cf0a39c4fff,20.0       ,16.0
ie2794c63a654f91020cbd703bb67022497f2a1861,16.0       ,14.0
ie35d583f532238e8c70793fbc4d7def81d0f99d13,17.0       ,14.0
iea35855f25be6ed2a6b934f7bc124d77839f0bdb7,16.0       ,14.0
iea4afba441d62975520ea573b2353e38eb0907dee,14.0       ,11.0
iebd0c56134339f820f66011a0df419544907ac828,14.0       ,11.0
ie362b8dd7c899a8238c0dddd1726a291bac7534cf,15.0       ,9.0
ie0ca221d0b9363f081ac83b4a4f61d747b775f2cc,11.0       ,9.0
iebaa57f6d8b996e37fb9a98215210c77849ffe877,11.0       ,6.0
ie80c819d8cf62e3455a07dc469dac8ba0507ee7ad,11.0       ,6.0
iece4880fefe757137b9f8068d40aff7f8abe2a3b7,16.0       ,8.0
iebcb0ccf42fd978b00fdca14cbfbabc0f7297e114,16.0       ,10.0
ie72c9479eed06ccf02bca96375f91684cb3503178,13.0       ,11.0
iedd41cd5dc231cc4f93c2a48e670aec0c3187ecda,14.0       ,12.0
ie301499bec9133c26a11fc64bc46dad2fd916fad0,19.0       ,14.0
ieddb2437724ec9e669fc3186d4f9ad01f3f898878,11.0       ,7.0
ie460c59dec1f946549d808f357326c167302dc4b7,11.0       ,8.0
ie52eec7f715f17640576f59e5f79c117735b3b157,21.0       ,16.0
ie4bfac5fff8b572ac1c34a06e7ce69d50dd180d8c,16.0       ,12.0
ie70e26587c4a0128a0fa409182e10ef17e89c44bb,9.0        ,5.0
ie9584c1e5d62f4b3b1ff97b873816641b6b2cead5,15.0       ,9.0
ie555333db88857a9ffb7ab1821e0ff9134f25a353,13.0       ,11.0
ie61e2b914e236beae159741e63e7520e257fa20e7,13.0       ,11.0
ie03d7312c7dc813eaa572c5c5f74695924072e694,18.0       ,15.0
ie345db3e0964dcd54e9eb2e5afdfb92d2358a4fee,19.0       ,16.0
ie2bdf15e56ae7647e41439078341002f1d7372fa3,10.0       ,7.0
iecd7b79f8cf6eee06b6878af5634f9019fca60bf1,18.0       ,11.0
ie1ba6d14611d9ac6750224ef2e8a33862c7d85574,12.0       ,7.0
ie392836f7b77453b455ac75a472a8e05477ac78ae,18.0       ,15.0
iea5ceff4ba087b269a7beaa096ad4015368b242bb,15.0       ,15.0
ie8aac44790771303dfcbc89ae33465c5a3b78167b,20.0       ,15.0
iec66fa7d0b5ea54001d5b0e8b961a5a30c598ff5c,14.0       ,9.0
ieb3fe38a0c6de8ce5398b2b48d74eaec97553134b,12.0       ,11.0
ied2ac09e531a86a52d3ac7a58053fc53c0b975153,16.0       ,13.0
ie127ddd3c7600d625db41c00347fa5ab6f9352202,19.0       ,14.0
ie8a6108c539303222cee415c12a98785fb4011969,15.0       ,13.0
ie729ef1d9e8509b12964829077041783f742b0492,9.0        ,6.0
ie2b3c8dca7a23f1c0861b27c298c6e3b1c9ce4d29,9.0        ,6.0
ie86da1b64f2c930aa8b81d0ff0ddc7c407799b7db,14.0       ,10.0
ie84499bceca6a14424bdc80ffa1c6fb7e346305ac,20.0       ,15.0
ie91cff016c2b39a5839885c68514d3f1381335c7b,14.0       ,9.0
ie94062f4b17878287a2dfd608e9162d8a2ad53105,18.0       ,13.0
ie69b34d0b2c2043365150cf216ce7d88739a350d9,12.0       ,7.0
ie9ddfb887ee57bda6716307b94b97ceb15185b098,21.0       ,19.0
iec38e4fc44ea2669a9c780c1d0309b039792025e8,16.0       ,11.0
ie9171cd1dbf5b9debbaa75c952069850dfa32cd0a,8.0        ,4.0
ie5b870fea4d1344358bf88963d7da9774ffffca93,20.0       ,16.0
