pkgs,std,max,25%,cut1,75%,10%,count,min,50%,iqr,mean
com.motorola.msimsettings,39.6557523722,278.824,5.518,-34.8875,32.455,3.2034,229,1.29,13.604,26.937,27.4179519651
com.motorola.timeweatherwidget,76.2676822541,881.65,4.54525,-38.971625,33.5565,2.0111,528,1.004,13.287,29.01125,34.3791041667
com.mxtech.videoplayer.ad,2234.07119333,10945.842,85.5405,-1235.686125,966.35825,23.6094,144,1.827,302.8235,880.81775,1199.27364583
com.netflix.mediaclient,4541.25572382,36614.074,126.2165,-6751.9045,4711.6305,21.8344,1639,1.001,1255.513,4585.414,3196.66446492
com.nianticlabs.pokemongo,3378.71931582,19978.128,241.00975,-3087.092,2459.74425,82.479,176,1.157,679.262,2218.7345,2199.3143125
com.nip.cennoticias,445.906143943,2449.548,72.9705,-621.549,535.9835,17.0989,154,1.416,210.5695,463.013,384.930707792
com.nu.production,197.808088556,1358.643,20.9445,-142.06275,129.616,6.7852,239,1.322,54.88,108.6715,125.283280335
com.outfit7.mytalkingangelafree,1517.42032769,7111.052,125.19025,-1677.07475,1326.70025,31.2688,140,1.005,454.9555,1201.51,1082.73663571
com.outfit7.mytalkingtomfree,2108.16895785,11446.339,209.855,-1142.827,1111.643,82.5136,149,1.258,525.764,901.788,1280.86333557
com.picsart.studio,749.187539857,7564.413,71.301,-455.775,422.685,21.982,239,1.066,173.806,351.384,379.18158159
com.pinterest,1118.44565566,11825.793,81.924,-981.15075,790.6405,19.7116,483,1.025,279.687,708.7165,670.877169772
com.popularapp.periodcalendar,73.8192143159,403.186,8.692,-95.018,77.832,3.573,221,1.056,23.198,69.14,55.3413438914
com.primety.sodexomobile,49.5653611081,332.303,10.69275,-44.770875,47.6685,6.764,146,1.035,20.383,36.97575,39.2098150685
com.psafe.msuite,1417.38528612,30365.726,49.343,-493.6405,411.332,13.3512,1449,1.026,155.651,361.989,467.618387854
com.roidapp.photogrid,621.652469251,6376.709,49.592,-386.9815,340.641,16.201,461,1.082,139.94,291.049,322.793754881
com.santander.app,231.863001286,1996.269,60.049,-240.8885,260.674,29.4276,577,1.116,131.767,200.625,202.288514731
com.schibsted.bomnegocio.androidApp,1569.06635438,23221.825,116.056,-1471.951625,1174.72775,32.5935,1008,1.142,437.5145,1058.67175,975.986869048
com.scores365,335.786564004,2189.612,42.58275,-236.36925,228.55075,16.3127,168,1.017,118.8915,185.968,222.249505952
com.shazam.android,164.540191333,1026.886,17.963,-146.158,127.377,9.7106,109,1.019,59.326,109.414,112.071211009
com.sirma.mobile.bible.android,666.641295523,6604.954,15.613,-445.9505,323.322,6.9174,153,1.166,56.056,307.709,295.465019608
com.skype.raider,1575.61661255,11733.492,31.01575,-904.551125,654.727,7.5121,238,1.12,200.213,623.71125,759.092042017
com.snapchat.android,1108.9816853,14573.927,99.8115,-945.672,796.8005,33.0423,2474,1.01,304.335,696.989,677.1443173
com.snaptube.premium,1076.71474455,8695.075,38.6845,-634.9355,487.7645,10.7054,662,1.14,144.3955,449.08,522.768193353
com.socialnmobile.dictapps.notepad.color.note,722.798858829,14111.068,20.8395,-262.35375,209.635,6.9136,540,1.116,74.476,188.7955,235.811912963
com.soundcloud.android,832.983282153,7813.626,49.405,-509.093,421.737,21.641,181,1.068,173.642,372.332,384.173022099
com.spotify.music,914.186669247,19112.518,69.2245,-599.820125,515.25425,23.1138,1294,1.079,201.4865,446.02975,478.49857728
com.ss.android.article.mynews.br,1822.19140649,10436.232,69.1855,-1498.188875,1114.10175,13.3107,144,4.312,379.6715,1044.91625,1100.51775694
com.steam.photoeditor,682.369564844,6558.345,15.251,-394.41775,288.3635,2.408,411,1.064,97.004,273.1125,307.923077859
com.studiosol.palcomp3,634.470003718,5640.403,43.01825,-449.232625,371.1855,10.4888,308,1.034,138.0115,328.16725,347.826311688
com.studiosol.player.letras,570.128358996,2827.35,57.90325,-622.77575,511.68925,15.3612,132,1.047,188.3015,453.786,399.549106061
com.supercell.clashofclans,2874.39389264,21757.019,531.93875,-3822.62275,3434.97975,129.359,656,1.07,1607.883,2903.041,2523.72183232
com.supercell.clashroyale,2959.21033132,22810.075,565.16225,-3986.183125,3599.3925,149.2449,860,1.156,1651.477,3034.23025,2596.90185
com.teslacoilsw.launcher,1864.67390214,29780.253,473.262,-1101.9255,1523.387,281.1234,689,15.784,858.807,1050.125,1315.16803774
com.tinder,1026.46675985,8962.863,119.1505,-1000.0565,865.2885,50.6278,563,1.143,360.443,746.138,708.36185968
com.tumblr,2043.91773654,15322.655,82.50875,-1377.282625,1055.703,18.8881,110,1.015,389.1075,973.19425,1061.93593636
com.twitter.android,2541.50241523,26195.247,122.564,-2508.223,1876.422,24.5302,937,1.137,518.081,1753.858,1520.13945891
com.ubercab,440.943739432,2801.491,51.8845,-557.057,457.8455,7.9761,942,1.092,169.643,405.961,342.407920382
com.ubercab.driver,7231.54405964,53593.3,127.47725,-10078.33,6931.34875,47.1893,168,1.075,1537.5245,6803.8715,4581.90972024
com.waze,4139.58368109,29039.683,71.879,-4008.758125,2792.30375,11.5409,618,1.05,584.8105,2720.42475,2382.87903722
com.whatsapp,4128.22547231,43053.538,1475.0385,-5165.811,5902.2715,595.8802,20507,1.084,3130.711,4427.233,4350.34367606
com.wisesharksoftware.photogallery,1032.20701235,9406.686,118.404,-742.4505,692.307,40.8806,229,2.09,313.137,573.903,627.231668122
com.yahoo.mobile.client.android.mail,346.494264719,2835.676,40.1875,-341.5595,294.6855,12.4622,363,1.333,103.536,254.498,234.641548209
com.zhiliaoapp.musically,1851.35528145,10801.047,51.623,-1756.986625,1257.36275,6.4209,122,1.236,358.0985,1205.73975,1082.71848361
deezer.android.app,997.042490844,9145.15,72.354,-649.6575,553.695,21.176,309,1.025,216.765,481.341,538.897152104
devian.tubemate.home,1761.9375322,12428.926,80.982,-1427.058,1086.342,24.8082,125,1.206,328.949,1005.36,964.175128
gogolook.callgogolook2,218.98887958,2293.288,14.201,-126.79375,108.1975,4.306,232,1.015,41.0845,93.9965,97.9220991379
jp.konami.pesam,3238.64859743,14603.542,471.63575,-4783.324,3974.94225,112.4791,154,2.896,2030.579,3503.3065,2913.40734416
kr.co.ladybugs.fourto,909.079576146,6440.637,118.55025,-1014.755625,874.0875,32.94,416,1.06,341.7375,755.53725,660.298480769
me.pou.app,1454.70594055,8931.286,129.099,-1312.61175,1090.2395,32.8206,132,1.627,390.1695,961.1405,982.165515152
media.audioplayer.musicplayer,901.746661065,6194.032,51.685,-729.197,572.273,14.2684,193,1.187,162.484,520.588,507.973968912
net.peakgames.amy,2145.14951881,11644.706,683.265,-2486.2995,2796.308,170.9366,169,1.336,1538.057,2113.043,2142.01266864
org.mozilla.firefox,2938.01627849,30229.166,74.356,-1178.49575,909.5905,16.6844,139,1.068,267.18,835.2345,1105.33713669
org.telegram.messenger,1660.37688578,12153.827,43.67475,-1020.1965,752.92225,9.6206,268,1.063,178.3365,709.2475,817.520660448
vStudio.Android.Camera360,327.145907564,1753.688,47.684,-348.49,311.8,17.5604,113,1.288,148.012,264.116,245.000575221
